Book-Title,Book-Author,ISBN
The Notebook,Nicholas Sparks,0446520802
A Painted House,JOHN GRISHAM,038550120X
Lightning,Dean R. Koontz,0425115801
Manhattan Hunt Club,JOHN SAUL,0449006522
Dark Paradise,TAMI HOAG,0553561618
Night Sins,TAMI HOAG,055356451X
How Stella Got Her Groove Back,Terry McMillan,0451192001
Waiting to Exhale,Terry McMillan,0671537458
The Girl Who Loved Tom Gordon : A Novel,Stephen King,0684867621
The Pillars of the Earth,Ken Follett,0451166892
The Dark Half,Stephen King,0451167317
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,043935806X
False Memory,Dean R. Koontz,055310666X
Bridget Jones's Diary,Helen Fielding,0330332775
A Wrinkle In Time,MADELEINE L'ENGLE,0440498058
The Boy Next Door,Meggin Cabot,0060096195
"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,0786817070
Move to Strike,Perri O'Shaughnessy,0440225825
The Last Time They Met : A Novel,Anita Shreve,0316781266
Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,0345446860
Along Came a Spider (Alex Cross Novels),James Patterson,0446364193
Alaska,James A. Michener,0449217264
Toxin,Robin Cook,0425167097
Whispers,Dean R. Koontz,042518109X
Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,0812533550
The Jester,James Patterson,0446613843
The King of Torts,JOHN GRISHAM,0440241537
Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,002542730X
Matilda,Roald Dahl,0140327592
The Lovely Bones: A Novel,Alice Sebold,0316666343
The Da Vinci Code,Dan Brown,0385504209
The Joy Luck Club,Amy Tan,0804106304
Wild Animus,Rich Shapero,0971880107
Coraline,Neil Gaiman,0380807343
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,0439064864
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,059035342X
To Kill a Mockingbird,Harper Lee,0446310786
Four To Score (A Stephanie Plum Novel),Janet Evanovich,0312966970
The Terminal Man,Michael Crichton,0345354621
Southern Cross,Patricia Daniels Cornwell,0425172546
The Chamber,John Grisham,0440220602
The Idiot Girls' Action Adventure Club,Laurie Notaro,0375760911
Dreamcatcher,Dinah McCall,0061083259
All Around the Town,Mary Higgins Clark,0671793489
Winter Solstice,Rosamunde Pilcher,0312244266
Deja Dead,Kathy Reichs,0671011367
"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,0812511816
The Saving Graces: A Novel,Patricia Gaffney,0061097101
Full House (Janet Evanovich's Full Series),Janet Evanovich,0312983271
Mystic River,Dennis Lehane,0380731851
Roses Are Red (Alex Cross Novels),James Patterson,0446605484
Violets Are Blue,James Patterson,0446611212
The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,0451188454
The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,0609804138
She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,0671003755
Choke,CHUCK PALAHNIUK,0385720920
Fight Club,Chuck Palahniuk,0805062971
About a Boy (Movie Tie-In),Nick Hornby,1573229571
Hannibal,Thomas Harris,0434009407
"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,0064407667
Red Rabbit,Tom Clancy,0425191184
The Summons,John Grisham,0385503822
