User-ID,ISBN,Book-Rating,Book-Title
276727,0446520802,0,The Notebook
276744,038550120X,7,A Painted House
276746,0425115801,0,Lightning
276746,0449006522,0,Manhattan Hunt Club
276746,0553561618,0,Dark Paradise
276746,055356451X,0,Night Sins
276747,0451192001,0,How Stella Got Her Groove Back
276747,0671537458,9,Waiting to Exhale
276754,0684867621,8,The Girl Who Loved Tom Gordon : A Novel
276755,0451166892,5,The Pillars of the Earth
276762,0451167317,0,The Dark Half
276788,043935806X,7,Harry Potter and the Order of the Phoenix (Book 5)
276788,055310666X,10,False Memory
276796,0330332775,5,Bridget Jones's Diary
276804,0440498058,8,A Wrinkle In Time
276822,0060096195,10,The Boy Next Door
276822,0786817070,10,"Artemis Fowl (Artemis Fowl, Book 1)"
276830,0440225825,9,Move to Strike
276832,0316781266,0,The Last Time They Met : A Novel
276832,0345446860,5,Back When We Were Grownups : A Novel (Ballantine Reader's Circle)
276847,0446364193,0,Along Came a Spider (Alex Cross Novels)
276850,0449217264,7,Alaska
276872,0425167097,8,Toxin
276872,042518109X,8,Whispers
276887,0812533550,9,Ender's Game (Ender Wiggins Saga (Paperback))
276889,0446613843,0,The Jester
276896,0440241537,10,The King of Torts
276925,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
276925,0140327592,0,Matilda
276925,0316666343,0,The Lovely Bones: A Novel
276925,0385504209,8,The Da Vinci Code
276925,0804106304,0,The Joy Luck Club
276925,0971880107,0,Wild Animus
276929,0380807343,0,Coraline
276929,0439064864,0,Harry Potter and the Chamber of Secrets (Book 2)
276939,059035342X,0,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))
276939,0971880107,0,Wild Animus
276953,0446310786,10,To Kill a Mockingbird
276954,0971880107,0,Wild Animus
276957,0312966970,6,Four To Score (A Stephanie Plum Novel)
276964,0345354621,10,The Terminal Man
276964,0425172546,0,Southern Cross
276964,0440220602,9,The Chamber
276964,0684867621,8,The Girl Who Loved Tom Gordon : A Novel
276986,0375760911,10,The Idiot Girls' Action Adventure Club
276988,0061083259,7,Dreamcatcher
276988,0671793489,8,All Around the Town
276989,0312244266,0,Winter Solstice
276997,0671011367,0,Deja Dead
277036,0812511816,9,"The Eye of the World (The Wheel of Time, Book 1)"
277042,0061097101,0,The Saving Graces: A Novel
277042,0312983271,0,Full House (Janet Evanovich's Full Series)
277042,0380731851,0,Mystic River
277042,0446605484,7,Roses Are Red (Alex Cross Novels)
277042,0446611212,8,Violets Are Blue
277042,0451188454,0,The Bone Collector (Lincoln Rhyme Novels (Paperback))
277042,0609804138,9,The Sweet Potato Queens' Book of Love
277042,0671003755,0,She's Come Undone (Oprah's Book Club (Paperback))
277042,074343627X,8,Dreamcatcher
277042,0971880107,2,Wild Animus
277051,0385720920,10,Choke
277051,0805062971,0,Fight Club
277072,1573229571,9,About a Boy (Movie Tie-In)
277085,0434009407,8,Hannibal
277096,0064407667,7,"The Bad Beginning (A Series of Unfortunate Events, Book 1)"
277109,0425191184,5,Red Rabbit
277114,0385503822,0,The Summons
277124,0425189864,9,Mortal Prey
277124,0440241073,9,The Summons
277124,0553586122,5,Reap the Wind
277143,0061097101,0,The Saving Graces: A Novel
277143,0345342968,9,Fahrenheit 451
277143,0345446860,0,Back When We Were Grownups : A Novel (Ballantine Reader's Circle)
277143,0671027662,0,Coast Road: A Novel
277157,0316154059,5,City of Bones
277157,034541389X,0,Flesh and Blood
277157,0380731851,0,Mystic River
277157,0399146504,7,The Devil's Code
277157,0399148639,6,Mortal Prey
277157,0449221512,0,I Is for Innocent
277157,0670894184,0,Back Roads
277157,0679450408,6,Silent Witness
277157,0743486226,7,Angels &amp; Demons
277157,0971880107,0,Wild Animus
277168,0425175405,0,Black Notice
277168,0440225701,0,The Street Lawyer
277168,0553263226,0,The Bourne Supremacy
277168,067102423X,0,Bag of Bones
277168,0671032658,4,The Green Mile
277170,0425178102,0,Big Trouble
277170,0446609404,0,Cradle and All
277170,0446610038,0,1st to Die: A Novel
277170,0451178017,0,Over the Edge
277171,0345404114,0,Sleepers
277171,0385479565,0,The Hot Zone
277171,0451173139,7,Night over Water
277171,0553580930,9,A Man in Full
277171,0804114986,0,The Bonesetter's Daughter
277179,0440414806,10,Holes (Yearling Newbery)
277187,0671042858,0,The Girl Who Loved Tom Gordon
277187,0679745203,9,The English Patient
277188,0525945636,4,Code to Zero
277195,0060391626,10,I Know This Much Is True (Oprah's Book Club)
277195,0060502258,0,The Divine Secrets of the Ya-Ya Sisterhood: A Novel
277195,0060987561,0,I Know This Much Is True
277195,0316666343,0,The Lovely Bones: A Novel
277195,0316734837,0,Fortune's Rocks : A Novel
277195,0330332775,10,Bridget Jones's Diary
277195,0345413881,0,Dr. Death (Alex Delaware Novels (Paperback))
277195,037582233X,0,Stargirl
277195,0385475721,0,The Blind Assassin
277195,042511774X,0,Breathing Lessons
277195,0440236673,0,The Brethren
277195,0446604801,0,Jack &amp; Jill (Alex Cross Novels)
277195,0446605484,0,Roses Are Red (Alex Cross Novels)
277195,0446606189,0,Cat &amp; Mouse (Alex Cross Novels)
277195,0446606383,0,The Midnight Club
277195,0446609323,0,Black Friday
277195,0449134482,0,Dances With Wolves
277195,0553268880,0,The Prince of Tides
277195,0553572997,0,The Alienist
277195,0670869902,10,How Stella Got Her Groove Back
277195,0671021001,10,She's Come Undone (Oprah's Book Club)
277195,0671510053,0,SHIPPING NEWS
277195,0679745203,0,The English Patient
277195,0679746048,0,"Girl, Interrupted"
277195,0802115160,0,Kitchen
277195,1558743669,0,"A Child Called \It\"": One Child's Courage to Survive"""
277197,0316969680,8,The Beach House
277197,0375703861,7,White Teeth: A Novel
277197,0743206045,0,Daddy's Little Girl
277205,0671664964,7,The Hitchhiker's Guide to the Galaxy
277212,044023722X,8,A Painted House
277229,0312282990,7,The Amazing Adventures of Kavalier &amp; Clay
277231,014023313X,0,The Stone Diaries
277235,014029628X,6,Girl in Hyacinth Blue
277235,0375703861,10,White Teeth: A Novel
277237,038550926X,7,The Devil Wears Prada : A Novel
277244,0345443284,0,While I Was Gone
277245,0316601950,0,The Pilot's Wife : A Novel
277246,0452282152,10,Girl with a Pearl Earring
277253,0380807343,9,Coraline
277261,0440241073,7,The Summons
277272,0552998486,0,Chocolat
277288,0425154092,0,From Potter's Field
277315,0060173289,8,Divine Secrets of the Ya-Ya Sisterhood : A Novel
277315,0060976845,5,Little Altars Everywhere: A Novel
277353,0739417096,8,On the Street Where You Live
277363,0156027321,8,Life of Pi
277364,0553576801,5,The Perfect Husband
277367,0312276885,10,The Sigma Protocol
277378,0312195516,7,The Red Tent (Bestselling Backlist)
277378,0380731851,0,Mystic River
277378,0385474016,0,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies"
277378,0446608955,4,A Walk to Remember
277378,0451137965,0,Thinner
277378,0553279378,0,I Know Why the Caged Bird Sings
277378,0670892963,7,Bridget Jones : The Edge of Reason
277378,0670894494,0,The Passion of Artemisia
277378,0671028375,0,Fatal Voyage
277378,0671683993,0,The Temple of My Familiar
277378,0684872153,0,Angela's Ashes (MMP) : A Memoir
277378,0804114986,5,The Bonesetter's Daughter
277378,0971880107,0,Wild Animus
277411,044023722X,0,A Painted House
277413,0316666343,0,The Lovely Bones: A Novel
277427,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
277427,006092988X,0,A Tree Grows in Brooklyn
277427,0060930535,0,The Poisonwood Bible: A Novel
277427,0060934417,0,Bel Canto: A Novel
277427,0061009059,9,One for the Money (Stephanie Plum Novels (Paperback))
277427,006440188X,0,The Secret Garden
277427,0140067477,0,The Tao of Pooh
277427,014029628X,0,Girl in Hyacinth Blue
277427,014100018X,0,Chocolat
277427,0142001740,0,The Secret Life of Bees
277427,0312966091,0,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel)
277427,031298328X,0,Full Tilt (Janet Evanovich's Full Series)
277427,0316096199,0,Lucky : A Memoir
277427,0316168688,0,The Dogs of Babel (Today Show Book Club #12)
277427,0316284955,0,White Oleander : A Novel (Oprah's Book Club)
277427,0316569321,0,White Oleander : A Novel
277427,0316602051,0,The Jester
277427,0316666343,0,The Lovely Bones: A Novel
277427,0316776963,8,Me Talk Pretty One Day
277427,0316777730,0,Naked
277427,0345339681,0,The Hobbit : The Enchanting Prelude to The Lord of the Rings
277427,0345361792,0,A Prayer for Owen Meany
277427,0345404769,0,Silent Witness
277427,0345404777,0,No Safe Place
277427,0345404785,0,Dark Lady
277427,0345413903,10,The Murder Book
277427,0345436911,0,The Dress Lodger (Ballantine Reader's Circle)
277427,0374199698,0,Middlesex: A Novel
277427,0375727132,0,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback))
277427,0380710218,0,Postmortem
277427,0380718332,0,All That Remains (Kay Scarpetta Mysteries (Paperback))
277427,0385424736,9,The Rainmaker
